user_id,age,gender,country,amount,is_premium
8270,52,0,3,199.40646532326735,0
1860,18,0,0,276.1558708928102,0
6390,52,1,0,490.6844355964144,0
6191,54,0,2,379.2736549895618,1
6734,64,0,0,401.0472064079728,1
7265,31,0,0,845.8489027486851,1
1466,20,0,2,930.751658045318,0
5426,18,0,1,80.17676147562369,1
6578,22,1,0,217.2250710803989,0
9322,43,0,2,674.596509897398,0
2685,31,1,3,365.38099009255416,0
1769,56,1,1,261.9949307545065,1
7949,44,0,3,302.6900372405399,1
3433,26,1,3,329.6639812140952,0
6311,32,1,2,850.2587620779653,1
6051,32,1,0,145.68680746188753,0
7420,43,0,2,711.9674314425623,0
2184,59,0,2,557.5153671503747,0
5555,30,1,2,303.8967871394966,0
4385,68,0,2,425.8731574535906,0
7396,49,0,1,264.01677068671626,0
9666,56,0,0,615.5928169015908,0
3558,66,0,3,91.23744150603784,0
8849,69,1,3,15.630421714859914,0
3047,49,1,0,631.8015235916754,0
3747,21,0,3,202.7340770001658,0
1189,47,0,0,80.69603737142842,0
3734,54,1,3,403.11759702814254,0
4005,40,1,2,60.73546146348327,0
5658,56,0,3,887.807668886678,0
2899,62,1,0,37.82679576903081,0
8734,32,0,0,583.2868141047294,1
2267,60,0,0,444.370144726397,0
2528,46,1,0,675.4698608745998,0
4556,53,1,0,335.20706446624723,1
4890,30,0,1,163.9136797521029,0
9838,49,0,1,982.0315589832704,0
6393,24,1,3,840.6247002976351,0
9792,68,0,0,861.8703698194026,0
9433,39,1,3,258.1237212304475,0
8513,45,0,0,48.926969717914254,0
3612,19,1,0,310.581226769154,0
8041,59,1,1,541.9430617110905,0
7235,62,1,1,333.72140375718243,1
6486,23,0,2,829.676379247819,0
8099,45,0,1,279.1917152036346,0
1775,45,1,2,965.6166861716669,0
9226,61,0,2,462.9638774167844,0
4152,61,1,2,843.6818327243556,0
2585,37,1,2,202.8390436379269,0
4943,47,0,2,417.53468905358346,0
8555,28,0,3,702.6673325541383,0
4073,45,1,1,147.40038494741444,0
2021,42,0,2,141.85159530941863,0
4843,56,0,0,969.8567300094604,0
8989,50,1,1,717.5918555860626,0
7873,18,1,1,51.13630784181309,1
6675,44,0,2,405.1332819796242,1
1161,69,1,3,439.46876983614425,0
5297,30,1,2,746.7301952476247,1
1995,58,0,3,258.72649180952124,0
8629,20,1,0,192.89817075089067,0
2016,56,1,1,90.5238004677171,0
8869,23,0,0,434.3171729532367,0
7439,25,0,3,691.7706518073301,0
8892,44,1,3,68.08256275560495,0
7863,26,1,0,916.1039834864024,0
8916,54,0,3,448.2075313189279,0
9529,50,0,0,247.7695918862505,1
1878,68,0,1,103.3876205354382,0
5887,59,0,0,191.4459041376806,0
5859,61,1,1,935.3005503676428,1
7331,41,0,0,642.0687526079952,1
9571,32,0,3,521.7709467235877,1
9684,49,1,0,660.7116595509151,0
8208,49,0,3,441.5983332417732,0
6276,41,1,0,732.8739037379195,0
3062,58,0,0,57.71510835088648,0
1064,69,0,2,570.5938197838885,1
9006,66,0,3,167.48065994224487,0
3568,66,1,2,129.40291900368294,1
6463,69,1,3,348.78993021587934,1
3027,29,0,2,101.33517562240074,1
3695,56,1,1,103.66833989174025,0
6258,19,1,0,318.6434696426856,0
6618,20,1,3,979.7256680709828,0
7736,66,1,3,183.98930205550047,1
1391,54,1,0,27.480910262516858,0
6892,66,1,3,765.8490965623698,0
4561,34,0,3,808.9403907917463,0
7184,66,0,2,353.1681257179621,0
4099,19,1,3,470.2947379037455,1
7278,19,0,1,653.4510589750143,1
9392,45,0,1,58.05430549296487,0
4104,40,0,0,949.6797014096765,1
8215,54,0,3,887.870243231418,0
3454,49,1,0,268.654240296626,0
9996,50,0,1,25.643842617335707,0
3731,18,0,3,934.1352268446484,0
9154,36,1,3,506.278965134149,0
