step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
147,CASH_IN,329822.99,sdv-pii-1hybr,4806431.42,5947257.03,sdv-pii-a89t7,419530.31,3697373.7,0,0
450,PAYMENT,20295.13,C1114778583,0.01,499.17,C689793442,4467189.32,1290654.24,0,0
57,CASH_OUT,32781.69,sdv-pii-suuas,143.37,20.69,sdv-pii-k2ai2,1129675.95,4979770.75,0,0
210,CASH_OUT,94808.87,C1629867471,974.7,32834.22,C350001556,526137.5,3.11,0,0
362,CASH_OUT,84063.92,C1758188565,192732.65,417339.55,M1856647425,1131265.84,4833.99,0,0
90,CASH_IN,4862.41,C1884267305,1946933.45,9113908.72,C1819166129,409743.88,24.75,0,0
294,CASH_OUT,119422.52,C881416345,467241.61,81825.69,M1013179289,578726.48,1222761.48,0,0
77,PAYMENT,53951.8,sdv-pii-p1ywx,50749.34,567741.13,sdv-pii-mz9dy,13472.62,893.73,0,0
4,TRANSFER,8967.22,C183125635,112.98,828545.34,C907489537,744114.54,626835.8,0,0
114,CASH_OUT,29251.28,C2072294159,27243.86,2604548.4,C2117057269,36060.99,0.0,0,0
